127.0.0.1 - - [23/Jun/2021:12:37:58 -0300] "GET / HTTP/1.1" 404 634
0:0:0:0:0:0:0:1 - - [23/Jun/2021:12:37:58 -0300] "GET /Tp_integrador_grupo_2/ HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [23/Jun/2021:12:38:10 -0300] "GET /Tp_integrador_grupo_2/login.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [23/Jun/2021:12:41:03 -0300] "GET /Tp_integrador_grupo_2/login.jsp HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [23/Jun/2021:12:41:14 -0300] "GET /Tp_integrador_grupo_2/login.jsp HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [23/Jun/2021:12:41:14 -0300] "GET /favicon.ico HTTP/1.1" 404 645
0:0:0:0:0:0:0:1 - - [23/Jun/2021:12:42:32 -0300] "GET /Tp_integrador_grupo_2/login.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [23/Jun/2021:12:43:09 -0300] "GET /Tp_integrador_grupo_2/login.jsp HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [23/Jun/2021:12:43:32 -0300] "GET /Tp_integrador_grupo_2/login.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:04:22 -0300] "GET /Tp_integrador_grupo_2/login.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:20:50 -0300] "GET /Tp_integrador_grupo_2/login.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:20:52 -0300] "GET /Tp_integrador_grupo_2/login.jsp?usuario=&pass= HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:21:12 -0300] "GET /Tp_integrador_grupo_2/login.jsp?usuario=&pass= HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:21:13 -0300] "GET /Tp_integrador_grupo_2/home.jsp?usuario=&pass= HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:22:04 -0300] "GET /Tp_integrador_grupo_2/home.jsp?usuario=&pass= HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:22:08 -0300] "GET /Tp_integrador_grupo_2/registro.jsp HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:28:23 -0300] "GET /Tp_integrador_grupo_2/registro.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:29:58 -0300] "GET /Tp_integrador_grupo_2/registro.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:30:53 -0300] "GET /Tp_integrador_grupo_2/registro.jsp HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:31:22 -0300] "GET /Tp_integrador_grupo_2/registro.jsp HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [23/Jun/2021:13:31:44 -0300] "GET /Tp_integrador_grupo_2/registro.jsp HTTP/1.1" 200 2105
